"LA","Region","Projected number of 0-17 yr olds in a household where an adult experienced domestic abuse in last year","Projected number of 0-17 yr olds in a household where an adult has ever experienced domestic abuse","Projected number of 0-17 yr olds in a household where an adult has moderate or higher mental ill-health symptoms","Projected number of 0-17 yr olds in a household where an adult has severe mental ill-health symptoms","Projected number of 0-17 yr olds in a household where an adult reports any substance misuse","Projected number of 0-17 yr olds in a household where an adult has an alcohol or drug dependency","Projected number of 0-17 yr olds in a household where an adult has any of the 'toxic trio' issues (broad measures)","Projected number of 0-17 yr olds in a household where an adult has any of the 'toxic trio' issues (narrow measures)","Projected number of 0-17 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (broad measures)","Projected number of 0-17 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (narrow measures)","Projected number of 0-17 yr olds in a household where an adult has 2 or more of the toxic trio issues (broad measures)","Projected number of 0-17 yr olds in a household where an adult has 2 or more of the toxic trio issues (narrow measures)","Projected number of 0-17 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (broad measures)","Projected number of 0-17 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (narrow measures)"
"Barking and Dagenham","London",4410,17270,21710,9870,6670,2830,30410,12980,10700,2960,12970,3490,2270,850
"Barnet","London",5980,23300,28060,11740,8790,3100,41080,16130,13190,3490,16150,4060,2960,940
"Barnsley","Yorkshire and the Humber",3140,13140,15960,6660,5090,1920,23020,8950,7600,1960,9400,2340,1800,530
"Bath and North East Somerset","South West",2350,8400,11170,4450,4060,1670,15970,6100,4810,1150,6210,1750,1410,360
"Bedford","East of England",2390,9720,11670,4790,4010,1550,17410,6620,5340,1330,6670,1720,1330,390
"Bexley","London",3520,14350,17350,7350,5820,2120,25570,9980,8150,2060,10050,2510,1900,580
"Birmingham","West Midlands",19880,72990,94190,41530,31220,13670,132830,56100,45660,13140,55560,15870,9890,3850
"Blackburn with Darwen","North West",2450,9420,12380,5550,4180,1720,17530,7360,5740,1610,7080,1960,1340,500
"Blackpool","North West",2410,8520,10300,4890,3970,1660,14570,6400,5020,1860,6600,2190,1580,340
"Bolton","North West",4500,17190,22090,10050,7320,2840,31200,13000,10280,2930,12820,3600,2550,770
"Bournemouth","South West",2440,9490,11700,4780,3870,1350,16900,6470,5410,1490,6790,1780,1380,360
"Bracknell Forest","South East",1570,6790,8080,3180,2840,1040,12230,4460,3650,790,4560,1060,910,270
"Bradford","Yorkshire and the Humber",9490,34910,43680,19480,14480,5820,63510,26110,20120,6030,24840,7270,4710,1700
"Brent","London",6120,21790,25100,11750,7740,3080,37280,16270,12380,3680,14900,4150,2520,850
"Brighton and Hove","South East",3900,14370,17590,7280,5890,2180,24820,9760,8460,2400,10730,2970,2280,540
"Bristol, City of","South West",7280,25380,32260,13840,11640,4590,45550,18690,15070,4470,19350,5690,4290,1090
"Bromley","London",4470,18620,22040,9150,7010,2400,32870,12450,10240,2470,12540,3000,2300,700
"Buckinghamshire","South East",6680,27990,33860,12650,11920,4400,51480,18030,14620,3100,18450,4420,3830,1100
"Bury","North West",2850,11010,13770,6120,4500,1580,19730,7930,6370,1810,7950,2180,1590,450
"Calderdale","Yorkshire and the Humber",3060,11890,14640,6380,4650,1710,21100,8360,6790,1890,8440,2310,1650,470
"Cambridgeshire","East of England",7960,31680,39700,15860,14150,5450,58540,22050,17780,4270,22350,5720,4570,1310
"Camden","London",3990,13860,18060,8160,5200,2030,24430,10540,9030,2780,10860,3160,1830,570
"Central Bedfordshire","East of England",3460,14840,17560,7050,6070,2200,26580,9850,8010,1820,9950,2340,1950,570
"Cheshire East","North West",4380,18430,22480,9180,7140,2400,33270,12280,10060,2400,12440,3010,2380,660
"Cheshire West and Chester","North West",4160,16800,20680,8640,6830,2460,30200,11560,9410,2350,11750,2990,2350,630
"City of London","London",80,350,400,180,140,50,600,240,180,40,240,60,50,10
"Cornwall","South West",6620,26710,31930,12670,10990,3980,47630,17490,14400,3680,18200,4710,3810,940
"County Durham","North East",6710,26510,32260,13580,10470,4060,46380,18270,15410,4180,19130,5070,3730,1050
"Coventry","West Midlands",5590,19830,25490,10800,8960,3780,36130,14840,11860,3260,14970,4260,3120,1000
"Croydon","London",6910,26780,30750,13870,9940,3610,45210,18400,14910,4180,18610,5020,3710,1060
"Cumbria","North West",5530,22810,27870,11360,9110,3310,40990,15430,12700,3090,15760,3900,3050,830
"Darlington","North East",1530,6090,7110,2980,2290,860,10400,4030,3410,950,4260,1140,850,230
"Derby","East Midlands",3950,15100,19190,8080,6570,2710,27380,10970,9010,2440,11230,3080,2220,700
"Derbyshire","East Midlands",8680,37350,44730,17370,15200,5630,66850,24290,20480,4740,25460,6040,4980,1420
"Devon","South West",8990,35350,42700,16930,15260,5520,63880,23490,18910,4640,24150,6280,5250,1250
"Doncaster","Yorkshire and the Humber",4040,16870,20640,8670,7040,2730,30000,11800,9770,2580,12150,3080,2390,720
"Dorset","South West",4360,18040,21910,8560,7680,2800,33040,11930,9520,2180,12050,2980,2520,630
"Dudley","West Midlands",3710,16120,20650,8210,6850,2750,29940,11430,9490,2260,11580,2730,2090,700
"Ealing","London",5830,22370,25590,11360,8190,3010,38330,15760,12310,3360,15100,3880,2790,850
"East Riding of Yorkshire","Yorkshire and the Humber",3570,15130,18100,7120,5870,2040,27090,9810,8190,1980,10120,2440,1920,530
"East Sussex","South East",6640,26780,31550,12350,10400,3700,47100,17020,14380,3570,18020,4600,3650,910
"Enfield","London",6110,23550,27450,12060,8540,3060,39990,16360,13590,3790,16600,4290,3000,950
"Essex","East of England",18110,75110,90800,36780,31050,11730,135100,51040,41670,9930,51770,12700,10100,2970
"Gateshead","North East",2710,10610,13270,5790,4260,1650,18810,7640,6340,1760,7830,2100,1500,430
"Gloucestershire","South West",7260,29940,36850,14390,13150,4700,55160,19990,16100,3730,20420,5030,4330,1140
"Greenwich","London",5110,18900,23490,10730,7310,3000,33060,14120,11470,3270,14060,3940,2590,830
"Hackney","London",6560,20470,23320,11330,6580,2640,32900,15350,12770,4420,15170,4750,2380,830
"Halton","North West",1930,7930,9640,4450,3110,1170,13680,5700,4790,1340,5900,1560,1110,310
"Hammersmith and Fulham","London",2860,10630,12920,5940,4010,1530,18020,7730,6570,1950,8060,2230,1490,420
"Hampshire","South East",16250,67540,80440,31050,28610,10770,121960,43940,35650,7800,45130,10990,9490,2550
"Haringey","London",5190,18460,21090,9700,6650,2460,30460,13130,10820,3300,13300,3720,2480,730
"Harrow","London",3500,14100,16800,7090,5560,1920,25330,9820,7590,1940,9370,2300,1780,550
"Hartlepool","North East",1400,5590,6890,3100,2060,800,9610,3990,3380,960,4160,1110,780,230
"Havering","London",3400,14170,17220,7270,5850,2160,25400,9960,8070,1990,9950,2420,1880,580
"Herefordshire, County of","West Midlands",2010,8560,10210,3810,3530,1290,15470,5480,4580,1030,5710,1330,1130,310
"Hertfordshire","East of England",16070,65130,80270,33010,26740,10170,118150,45180,36540,8700,45270,11320,8720,2630
"Hillingdon","London",4640,18350,22450,9670,7710,2940,33040,13310,10490,2740,12970,3320,2490,810
"Hounslow","London",3970,16320,19970,8780,6490,2530,29250,11910,9280,2340,11410,2830,2130,720
"Isle of Wight","South East",1620,6550,7590,2990,2470,880,11310,4130,3560,930,4440,1140,880,220
"Islington","London",3860,13170,16240,7590,5130,2120,22350,9920,8470,2670,10330,3110,1850,530
"Kensington and Chelsea","London",2080,7720,9430,4150,2680,1000,13330,5530,4570,1190,5550,1430,980,280
"Kent","South East",20370,83360,99240,39080,34820,13270,148730,54970,45460,10900,57060,14300,11610,3320
"Kingston upon Hull, City of","Yorkshire and the Humber",4240,15900,19950,9040,6700,2820,27730,11860,9880,3020,12330,3570,2460,730
"Kingston upon Thames","London",2370,9370,11790,4850,3870,1360,17140,6620,5370,1340,6630,1640,1260,380
"Kirklees","Yorkshire and the Humber",6400,24330,31180,13590,10250,4070,44620,18120,14320,3980,17720,4900,3390,1100
"Knowsley","North West",2460,9840,12050,5770,3790,1380,16640,7240,6310,1900,7680,2080,1360,390
"Lambeth","London",5780,20160,23520,11100,7180,2620,32990,14630,12450,3860,15190,4300,2730,750
"Lancashire","North West",16640,63290,78110,33960,27010,9990,113380,45040,35870,9910,45410,12580,9560,2540
"Leeds","Yorkshire and the Humber",12290,43550,56130,24990,19570,8380,78880,33200,26480,7820,33360,10010,6890,1970
"Leicester","East Midlands",5350,20040,28040,12110,9010,4050,38470,16190,13000,3620,15780,4410,2780,1150
"Leicestershire","East Midlands",7780,32190,39670,15220,13750,5080,59380,21490,17510,3840,21870,5220,4360,1310
"Lewisham","London",5520,20740,23780,11070,7670,2950,34430,14660,12090,3600,14940,4190,2860,810
"Lincolnshire","East Midlands",8620,35390,42650,16610,14500,5430,63550,23340,19480,4700,24240,6000,4760,1350
"Liverpool","North West",7880,27370,35840,17080,11750,4560,48260,21550,17870,5860,22250,6760,4380,1240
"Luton","East of England",3800,14230,17650,7670,5830,2310,25730,10550,8160,2340,10070,2770,1910,680
"Manchester","North West",10670,34170,47070,22980,15610,6530,62300,28780,23330,8180,28870,9570,5540,1790
"Medway","South East",4040,16430,19530,7880,6770,2460,28980,10920,9150,2330,11440,2870,2300,680
"Merton","London",2860,11720,14300,6020,4540,1520,20960,8060,6550,1750,8090,2020,1540,460
"Middlesbrough","North East",2430,9090,11480,5290,3790,1590,15840,6870,5770,1810,7140,2080,1370,440
"Milton Keynes","South East",4140,18280,20390,8120,6530,2240,30760,11580,9870,2010,12190,2470,2320,700
"Newcastle upon Tyne","North East",4520,14960,21480,9880,7070,3210,28380,12510,10140,3240,12600,4080,2460,730
"Newham","London",6670,23450,28330,13740,8870,3630,40960,18490,14160,4270,16950,4850,2780,1100
"Norfolk","East of England",10770,42340,52100,21560,17520,6860,75940,29430,24020,6140,30010,7890,5990,1650
"North East Lincolnshire","Yorkshire and the Humber",2300,9290,11120,4710,3660,1340,16080,6330,5390,1490,6700,1740,1310,370
"North Lincolnshire","Yorkshire and the Humber",2040,8690,10590,4140,3490,1330,15640,5770,4850,1180,5990,1450,1140,350
"North Somerset","South West",2560,10580,12590,4980,4090,1340,18900,6830,5600,1360,6990,1700,1390,360
"North Tyneside","North East",2730,11130,13130,5730,4020,1420,19020,7530,6320,1720,7810,2010,1490,400
"North Yorkshire","Yorkshire and the Humber",6930,28440,34140,13520,11420,4180,51080,18730,15280,3650,19110,4760,3830,1010
"Northamptonshire","East Midlands",9890,41750,49180,19300,16990,6350,74070,27140,22600,5250,28230,6820,5630,1650
"Northumberland","North East",3700,15010,18120,7530,5660,2080,26410,10090,8400,2140,10400,2660,2000,530
"Nottingham","East Midlands",5330,17800,25640,11340,7980,3670,33450,14480,12380,3900,15140,4780,2760,980
"Nottinghamshire","East Midlands",9540,40640,48890,19240,16460,5950,72710,26760,22530,5380,27920,6650,5380,1580
"Oldham","North West",3950,14540,19370,8890,6270,2460,26950,11430,9060,2680,11130,3210,2070,710
"Oxfordshire","South East",8700,34110,42190,16350,15600,6100,62770,23120,18620,4330,23830,6190,5220,1380
"Peterborough","East of England",3020,12340,15400,6330,5010,2000,22340,8730,7180,1910,8800,2240,1610,580
"Plymouth","South West",3720,13670,17290,7280,6070,2380,24670,9780,7950,2240,10140,2890,2200,570
"Poole","South West",1760,7280,8930,3540,3040,1020,13280,4880,3960,960,4960,1200,1000,270
"Portsmouth","South East",3300,12060,15060,6310,5140,2060,21290,8530,7200,2070,9070,2580,1880,540
"Reading","South East",2530,9570,11760,4790,4010,1510,17100,6660,5500,1430,6860,1790,1370,410
"Redbridge","London",4860,18760,22460,9550,7300,2650,33670,13390,10170,2590,12520,3130,2360,820
"Redcar and Cleveland","North East",1890,7510,9170,3990,2800,1010,12970,5220,4460,1270,5490,1440,1030,290
"Richmond upon Thames","London",2590,11000,13250,5480,4210,1410,19660,7380,6040,1440,7430,1760,1390,400
"Rochdale","North West",3570,13420,17450,8090,5820,2330,24430,10400,8260,2460,10250,2970,1990,630
"Rotherham","Yorkshire and the Humber",3450,14420,17830,7510,5980,2430,25800,10190,8440,2190,10440,2660,1990,600
"Rutland","East Midlands",440,1800,2170,800,760,290,3300,1160,940,190,1190,280,250,70
"Salford","North West",4350,15660,19720,9210,6710,2680,27520,11960,9700,3000,12120,3580,2420,700
"Sandwell","West Midlands",4560,19710,25670,10910,8730,3880,36600,14990,12240,3160,14850,3720,2600,990
"Sefton","North West",3760,14510,17900,8190,5930,2060,25460,10520,8530,2560,10700,2970,2180,550
"Sheffield","Yorkshire and the Humber",8270,29230,39460,16920,13570,6010,54550,22480,18280,5280,22930,6910,4670,1390
"Shropshire","West Midlands",3290,14130,16870,6300,6000,2230,25620,9020,7510,1660,9440,2240,1940,520
"Slough","South East",2650,10610,12510,5310,4150,1670,18930,7520,5710,1420,7030,1770,1320,470
"Solihull","West Midlands",2690,11340,13710,5460,4560,1700,20450,7560,6200,1410,7680,1850,1490,440
"Somerset","South West",6490,26670,32370,12750,11400,4340,48390,17660,14200,3380,18120,4640,3920,970
"South Gloucestershire","South West",3240,13640,16570,6260,5830,2060,25050,8910,7240,1580,9110,2120,1880,530
"South Tyneside","North East",2190,8580,10180,4590,3200,1200,14450,5970,5030,1470,6280,1710,1250,320
"Southampton","South East",3640,12520,17230,7220,6130,2760,23830,9780,7820,2230,9900,3010,2090,630
"Southend-on-Sea","East of England",2530,10240,12240,5200,3980,1380,17920,6920,5760,1610,7150,1870,1390,390
"Southwark","London",5310,19510,23960,11440,7530,3130,33240,14770,12380,3670,15080,4310,2690,830
"St. Helens","North West",2400,9920,12170,5470,3920,1390,17320,7100,5910,1650,7300,1870,1390,390
"Staffordshire","West Midlands",9360,40040,48300,18390,17080,6480,72870,26160,21610,4790,27080,6440,5470,1560
"Stockport","North West",4000,16090,19650,8660,6610,2230,28670,11340,9090,2450,11380,2950,2290,610
"Stockton-on-Tees","North East",2920,11470,14020,6050,4500,1610,20090,7990,6690,1880,8300,2200,1610,460
"Stoke-on-Trent","West Midlands",3660,14730,18480,7640,6110,2540,26320,10440,8860,2330,10930,2830,2060,670
"Suffolk","East of England",9440,37630,45670,18540,15550,5960,67480,25620,20860,5110,26120,6690,5250,1430
"Sunderland","North East",3780,14980,18470,8250,6070,2450,26140,10840,8960,2630,11170,3080,2200,620
"Surrey","South East",13590,58180,72110,26730,24850,8820,108640,38130,31150,6380,38820,8730,7660,2340
"Sutton","London",2840,11810,14140,6040,4770,1740,21110,8190,6470,1580,8040,1980,1580,480
"Swindon","South West",2760,11960,14630,5890,5110,1860,21920,8170,6510,1480,8140,1900,1640,500
"Tameside","North West",3370,13290,16560,7520,5450,2010,23490,9720,7960,2320,9880,2700,1920,560
"Telford and Wrekin","West Midlands",2490,10250,12400,5000,4210,1600,18190,6880,5820,1500,7240,1840,1420,430
"Thurrock","East of England",2430,10320,13120,5430,4270,1600,18930,7410,6100,1540,7440,1780,1340,480
"Torbay","South West",1850,7040,8140,3450,2700,860,12000,4600,3870,1180,4880,1350,1010,210
"Tower Hamlets","London",6140,19270,24630,11990,7290,3320,33490,15960,12930,4230,15320,4790,2380,930
"Trafford","North West",3470,13870,17410,7760,5720,1980,25220,10030,7840,2120,9800,2610,1960,550
"Wakefield","Yorkshire and the Humber",4570,18880,23060,10070,7450,2860,33160,13330,11030,2910,13640,3490,2600,750
"Walsall","West Midlands",4140,16460,21200,8860,7030,2970,30160,11990,9920,2640,12220,3270,2290,760
"Waltham Forest","London",4700,18080,21660,9770,7180,2740,31630,13230,10390,3000,12850,3460,2450,770
"Wandsworth","London",5010,18170,21460,9580,6670,2260,30450,12790,10900,3250,13390,3610,2490,660
"Warrington","North West",2690,11140,13900,5970,4480,1550,20140,7840,6370,1600,7880,1960,1510,440
"Warwickshire","West Midlands",6380,27190,32790,12310,11260,4120,49390,17570,14680,3220,18270,4240,3590,1040
"West Berkshire","South East",1930,8370,9870,3720,3560,1340,15150,5340,4360,910,5500,1280,1140,320
"West Sussex","South East",9800,41220,49220,18780,16660,5990,74270,26490,21960,4900,27420,6490,5450,1500
"Westminster","London",3500,12570,15440,6970,4550,1770,21620,9080,7460,2130,9220,2620,1750,470
"Wigan","North West",4390,17920,21970,9740,7190,2520,31620,12650,10430,2860,12950,3370,2520,710
"Wiltshire","South West",6060,25260,30390,11780,10670,3950,45900,16450,13240,2960,16830,4140,3590,930
"Windsor and Maidenhead","South East",1880,7920,9620,3710,3270,1180,14540,5200,4170,900,5220,1240,1060,300
"Wirral","North West",5000,19060,22850,10620,7610,2690,32660,13630,11120,3430,13990,3980,2880,710
"Wokingham","South East",1890,8430,10340,3750,3480,1140,15800,5370,4380,830,5420,1140,1040,330
"Wolverhampton","West Midlands",3530,15080,19730,8300,6340,2690,27670,11210,9450,2400,11460,2820,2000,710
"Worcestershire","West Midlands",6660,28320,33540,12810,11630,4310,50760,18180,15140,3410,18940,4510,3800,1050
"York","Yorkshire and the Humber",2680,9080,12120,5220,4160,1670,16890,6880,5460,1520,6950,2080,1490,380
